#{"t_start": 1783678883.705587, "env_id": "None"}
r,l,t
-64.79372,45,25.509901
-61.428252,49,25.623365
-26.803861,93,25.828411
-66.963555,43,25.921109
-82.037452,26,25.980733
-50.977899,67,26.130263
-60.811896,51,26.245401
-72.67308,37,26.331318
-59.305604,53,26.456415
-63.209887,49,26.567321
-32.52751,85,26.766013
-93.211825,13,26.79701
-30.788401,87,27.002101
-54.477404,60,27.137886
-81.514088,27,27.195977
-77.458269,33,27.269668
-22.537297,92,27.477046
-45.353549,67,27.624898
-60.929868,52,27.739323
-53.763933,62,27.874272
-51.411513,68,28.027504
-57.348821,63,28.165802
-38.381198,81,28.347695
-60.045922,51,28.460753
-56.271769,57,28.59553
-75.723076,37,28.683411
-65.269902,44,28.785325
-74.77114,34,28.86022
-60.319117,52,28.976259
-89.664369,13,29.010944
-40.631708,80,29.213681
-25.241415,91,31.643928
-31.668408,86,31.834063
-28.085718,89,32.035712
-60.613409,51,32.150612
-71.25026,37,32.239402
-50.844934,69,32.397353
-32.534318,88,32.590918
-15.702569,96,32.836363
-40.080392,78,33.010002
-37.604561,80,33.195085
-72.799754,36,33.276862
-54.371872,63,33.42434
-35.160411,84,33.629931
-22.176819,91,33.848971
-29.500629,87,34.050633
-26.696539,91,34.268318
-35.313847,86,34.475445
-36.018835,83,34.695603
-62.64173,49,34.848835
-23.028502,90,35.071861
-24.282047,95,35.290395
-30.376856,88,35.483113
-45.560912,67,35.631023
-28.041323,91,35.833727
-39.88833,84,36.020635
-19.957257,93,36.220175
-24.748754,89,38.79503
-34.599395,83,38.9789
-19.945661,93,39.206228
-27.773578,91,39.413027
-15.847663,101,39.638268
-32.3687,87,39.828205
-30.846491,85,40.070671
78.42221,209,40.544053
79.955796,210,41.097973
-34.712899,87,41.284348
-29.887307,86,41.487733
-12.411808,105,41.740228
-20.923601,92,41.947726
-20.111985,94,42.158557
91.342981,220,42.652274
-44.722387,73,42.81672
-39.163684,81,43.004569
-32.375472,83,43.190662
-26.70572,88,45.620992
-70.016152,39,45.703077
-20.890345,97,45.927558
-23.566543,91,46.128548
-25.012221,90,46.325073
-26.011947,90,46.522989
82.647247,211,46.981188
-32.803237,86,47.169529
84.274676,214,47.634034
34.263022,157,47.976611
-20.250348,95,48.185477
-23.291901,90,48.384424
-25.28768,91,48.585296
-37.502938,86,48.772197
-27.812095,89,48.971067
-18.926761,92,49.176611
-16.562556,100,49.40015
-25.95903,89,49.606321
-26.014624,90,49.811742
84.777286,216,52.541316
-14.614166,97,52.772666
-9.176481,102,53.033425
-12.023556,98,53.258357
338.798575,394,54.423666
-29.375255,89,54.676197
195.972612,335,55.682311
-23.073983,94,55.968761
382.872195,451,57.347591
-15.99051,95,57.591381
818.849625,695,61.543244
814.209109,702,63.232704
820.046468,701,64.941396
817.4912,706,69.614179
818.11987,707,71.387559
815.256275,704,73.53078
79.707538,212,76.37922
393.166073,448,77.404142
-12.577057,100,77.660344
-20.376088,95,77.931261
819.5272,704,79.587444
445.059856,511,80.744763
821.577528,697,84.918126
821.182753,695,86.598802
818.698979,699,88.966984
819.810806,696,93.68434
821.883111,690,95.675158
821.387541,690,97.245857
189.434435,325,100.284549
820.411566,691,101.83968
820.97014,690,103.44513
819.253562,689,107.740092
820.934744,685,109.279383
820.492674,686,110.839321
820.337137,694,114.651738
817.039926,697,116.237385
821.922189,692,117.789991
821.184131,694,121.709201
822.330481,695,123.313182
77.744366,210,123.806767
818.659325,700,125.400742
822.622128,693,129.281969
822.95217,694,130.830308
820.171116,693,132.399877
393.263804,439,135.682239
821.841293,688,137.259696
822.004684,687,138.837888
821.753075,693,142.686731
820.251522,691,144.257374
820.526211,689,145.829745
822.373705,686,149.710519
821.768757,686,151.244599
822.008976,686,152.793352
820.471213,689,156.603735
822.989085,687,158.140868
822.066744,685,159.697715
823.160431,686,163.551059
822.248488,686,165.161355
823.700205,686,166.691915
822.864829,686,170.495753
821.803617,685,172.035888
820.539493,686,173.611632
821.352946,684,177.452326
820.10338,683,178.967763
820.104855,684,180.507954
819.474088,684,184.257881
818.565955,682,185.83323
817.993166,683,187.429119
821.248759,683,191.155001
822.235262,682,192.67805
820.783241,683,194.222654
819.789521,683,198.888398
818.468804,683,200.6853
816.797974,684,202.728781
815.976573,682,207.321127
817.659929,683,209.138737
816.521827,682,210.851388
816.224079,682,215.295666
815.994057,683,216.976869
816.596344,682,218.613412
591.961744,656,222.85823
818.367962,685,224.566481
818.540128,684,226.232964
819.001459,683,230.444858
819.215604,682,232.218781
818.828009,683,234.01275
817.198173,681,237.979211
816.958952,682,239.761424
819.26071,682,241.407968
818.223742,683,245.578309
819.550386,683,247.266558
817.349648,683,248.973793
819.287525,682,253.08363
820.825633,682,254.760545
819.240292,682,256.544996
821.290263,682,260.607006
815.652652,684,262.316206
816.968053,683,264.006405
819.345151,682,268.285597
816.883615,684,269.955683
817.071647,683,271.723759
817.691957,683,275.798124
817.876429,683,277.563862
818.717968,682,279.336921
817.073113,682,283.377593
818.198207,681,285.066286
813.695257,682,286.74377
815.504847,683,291.166622
83.457677,205,291.863653
818.111889,681,293.867021
816.323547,681,295.748461
818.569706,681,300.183182
816.42287,681,301.960269
814.888296,683,303.836171
819.376459,684,308.263135
819.576814,682,310.115246
820.201817,683,311.865594
819.042979,681,316.201862
819.262326,682,317.95964
816.144146,683,319.790386
89.184968,209,322.897099
819.097868,681,324.860464
816.744792,681,326.55269
381.289417,429,327.653659
814.341218,681,331.93612
816.614386,682,333.64973
814.69732,680,335.801363
817.523318,680,340.875334
814.801427,681,342.892282
816.839527,680,344.696295
817.752584,680,349.137751
817.066078,682,350.797087
816.908271,682,352.561306
813.894053,683,356.667557
818.148632,682,358.44253
814.718252,682,360.150504
819.501932,682,364.558826
820.274375,682,366.228009
818.664291,682,367.939312
818.150082,682,372.684215
816.35953,683,373.630657
816.853705,681,374.357052
816.800855,682,376.345456
818.870666,681,377.166556
820.299624,681,377.982374
820.249097,682,379.966474
820.245192,682,380.805752
822.333945,682,381.71217
819.86631,682,383.883483
819.334643,682,384.723316
823.611899,682,385.588515
821.651587,682,387.74857
820.398583,681,388.656655
822.917204,682,389.584502
817.636838,683,391.700732
818.841815,682,392.576846
817.742205,682,393.436684
822.837612,681,395.595897
823.156881,681,396.417626
821.107035,682,397.349914
820.162561,682,399.392067
821.177952,682,400.227859
819.818786,681,401.079445
818.488055,681,403.078032
819.218365,682,403.874761
821.284429,681,404.662216
821.173044,682,406.588094
820.125839,682,407.22325
819.723056,682,407.844693
818.889285,681,409.635509
818.68745,680,410.290594
819.620933,680,410.918194
819.267675,680,412.526482
818.245589,680,413.15136
817.648364,680,413.783166
818.903697,681,415.430107
819.128845,680,416.063054
819.414435,682,416.691201
821.036629,680,418.306352
821.288079,682,418.926704
818.747837,682,419.569673
819.263741,682,421.211961
818.21456,682,421.859749
818.088704,681,422.585511
818.055061,682,424.229417
819.788017,682,424.882293
821.770358,682,425.509253
820.34707,681,427.146029
820.097518,682,427.753959
821.09984,682,428.371749
820.512372,682,429.964134
819.941188,684,430.581361
821.720649,681,431.236385
818.46527,682,432.874772
820.513303,680,433.496702
820.667018,681,434.126976
817.923086,681,435.727488
819.374931,683,436.383693
817.693796,682,437.005867
815.43843,681,438.609365
819.006153,682,439.232169
816.169523,681,439.863398
390.612375,437,441.382193
813.425931,681,442.034222
814.625527,680,442.657996
813.183287,681,444.307174
811.550214,678,444.930731
811.567181,678,445.550311
813.14244,679,447.187394
811.925966,679,447.807178
