#{"t_start": 1783679459.1440916, "env_id": "None"}
r,l,t
90.82311,218,43.356269
-29.45128,90,43.458577
-16.139788,96,43.58679
143.015817,280,43.923818
59.068563,197,44.167837
-36.7304,92,44.274018
39.223747,163,44.477843
26.586875,155,44.650458
-26.528414,95,44.769027
-45.938173,71,44.86024
-72.861397,37,44.90723
95.158989,218,45.179872
-64.713004,46,45.236492
-12.701209,101,45.350017
-69.198575,40,45.402207
14.763925,136,45.566859
-20.23455,96,45.678128
36.894219,157,45.869476
130.075345,263,46.200022
-67.416848,44,46.255278
-17.467402,93,46.369013
-88.739682,20,46.398733
-74.591442,34,46.445055
-37.490995,84,46.550984
-57.185964,55,46.622838
824.870957,694,47.447884
38.780938,163,47.648041
-63.47785,47,47.708129
-73.318738,35,47.756679
39.269602,166,48.054568
49.381677,173,48.259988
325.691773,372,48.699236
32.305406,150,48.864739
-66.963854,44,48.916549
69.914379,198,49.15403
35.76459,166,49.358595
175.592726,325,49.745572
34.883692,160,49.92532
-14.695173,98,50.045041
328.983411,387,50.508809
141.892561,288,50.84915
-22.155185,94,50.965882
22.52348,146,51.138858
-12.134292,98,51.268514
-31.172223,90,51.37343
389.289333,444,51.884912
80.082687,209,52.132533
-28.802207,94,52.235435
142.555078,276,52.572143
100.827393,221,52.843761
63.42714,190,53.102613
175.760198,319,53.50427
80.298831,206,53.753006
375.942602,427,54.273253
83.40177,209,54.534265
83.42409,205,54.790792
69.736212,205,55.045267
61.236179,191,55.288684
158.150944,304,55.666793
807.139691,679,56.487449
-28.920016,85,56.587963
-28.258726,85,56.688915
-56.686779,54,56.752725
393.221222,437,57.269564
-14.902748,98,57.394392
808.206781,678,58.266515
195.862324,328,58.676475
73.818609,201,58.934361
383.009244,428,59.481474
-11.788142,100,59.606709
807.901129,678,60.434824
489.42094,548,61.109163
572.460772,650,61.923412
807.61828,677,62.761059
6.766348,124,62.903808
809.701113,676,63.789043
806.301343,679,64.607916
806.972173,672,65.449181
807.784497,676,66.28263
811.509078,679,67.121441
382.674415,430,67.65077
478.438425,537,68.323015
172.033105,309,68.741066
399.990277,443,69.359123
807.34344,674,70.212869
808.293356,674,71.061758
806.678525,672,71.886533
75.036367,199,72.138631
79.673372,203,72.38581
70.491325,197,72.636231
73.457464,199,72.885251
-32.076421,83,72.99375
804.590096,669,73.881869
174.994849,311,74.273275
577.26916,645,75.085642
806.240301,669,75.918976
805.813677,671,76.741313
590.100525,653,77.548092
811.460361,674,78.40751
807.302005,672,79.26168
806.88213,669,80.115167
807.25636,670,80.951086
-26.579854,87,81.069148
804.797617,669,81.919272
582.749252,648,82.741595
808.466006,675,83.599471
809.918312,672,84.487912
-21.585106,90,84.60089
806.521996,671,85.465013
811.710525,672,86.308654
814.192033,673,87.181078
75.586522,200,87.446269
-5.2356,104,87.589859
-21.424219,90,87.725662
809.479777,674,88.577111
804.014906,669,89.468677
803.29634,669,90.306831
475.601033,535,90.998034
802.035419,668,91.843397
173.072978,309,92.218785
576.172997,646,93.05822
171.266242,308,93.440064
77.309912,201,93.71191
-28.492955,86,93.831964
371.589627,420,94.472512
-26.767596,87,94.614922
-28.214359,86,94.737361
-25.017001,88,94.854634
-28.201401,87,94.972748
67.107505,194,95.230335
-20.402366,91,95.347316
-28.939308,86,95.450898
172.278579,310,95.870868
73.808421,199,96.146583
-28.414352,86,96.272846
480.830014,536,96.995123
-21.846868,90,97.123411
-29.742085,85,97.239252
-29.201905,85,97.355266
572.054289,642,98.218871
371.859813,421,98.738376
799.960233,668,99.569107
371.053894,420,100.137731
75.287343,199,100.392986
801.535258,668,101.20119
4.914257,115,101.335107
-91.350499,11,101.352191
-87.790043,16,101.371677
-91.350499,11,101.383259
805.930551,669,102.24589
81.06651,204,102.516273
805.785139,671,103.369022
808.262558,672,104.216287
804.586361,668,105.07168
802.305475,669,105.940055
803.389142,669,106.76545
804.246781,672,107.600089
85.471339,206,107.85979
171.322728,308,108.237244
809.128173,670,109.06125
-29.144524,86,109.165549
371.564539,423,109.742533
575.332019,646,110.596611
378.094796,424,111.123383
382.983015,428,111.638937
371.955948,420,112.172925
803.58051,670,113.03755
804.448938,670,113.884778
13.575211,126,114.037954
-89.73851,13,114.056125
807.750885,671,114.912461
809.409208,671,115.799918
814.787149,678,116.65761
-17.564463,93,116.785594
812.796664,674,117.64853
809.248304,671,118.475594
804.561498,671,119.308353
812.247089,675,120.175173
815.004791,676,121.071911
808.900693,673,121.934306
483.194345,539,122.622429
809.337239,672,123.473147
813.732673,675,124.314125
814.401762,676,125.160327
486.465699,537,125.864483
479.140173,535,126.547708
90.528818,212,126.80887
818.645408,675,127.644614
818.574034,676,128.506418
810.452803,674,129.383671
811.29262,673,130.236217
817.091632,678,131.110366
815.920044,675,131.968838
818.29886,682,132.830675
815.43071,676,133.689884
813.274875,675,134.558581
814.081235,674,135.413972
492.36502,541,136.10241
815.612356,674,136.957231
819.712102,680,137.840945
814.042223,675,138.694517
814.517877,676,139.535747
820.678617,680,140.418389
813.064939,675,141.289984
585.988332,646,142.129689
809.550401,673,142.98492
805.704577,672,143.841497
487.0434,540,144.519433
807.865998,671,145.372055
-24.136345,89,145.486352
482.575699,536,146.185979
809.007383,673,147.04548
-18.754109,92,147.162135
581.268089,650,147.975247
813.093407,674,148.810918
184.434996,319,149.205909
808.457444,674,150.05783
-22.774704,89,150.159157
374.662646,421,150.698785
-17.484769,93,150.807988
179.844615,311,151.194398
387.780511,431,151.782368
383.406639,424,152.316782
810.976462,673,153.145605
824.431521,680,154.005703
820.422615,678,154.861539
819.54853,680,155.735935
821.032618,678,156.603297
402.456069,439,157.167538
-17.892949,93,157.29185
820.797897,677,158.146105
819.378852,681,159.030825
818.633946,678,159.862095
820.450383,681,160.757936
819.369315,677,161.656027
818.642387,679,162.545075
818.630832,678,163.393013
821.045073,680,164.246319
819.545417,678,165.105672
817.058623,677,165.944863
813.235924,674,166.800692
810.229183,675,167.684344
811.435959,675,168.558493
811.423988,675,169.401798
813.643656,671,170.255911
815.362792,673,171.104976
176.590552,312,171.498218
807.356626,672,172.416834
591.413212,654,173.243839
389.285343,430,173.779112
385.090749,426,174.293938
-25.056683,89,174.41399
485.957355,540,175.111034
485.531998,538,175.795614
185.225803,316,176.189821
168.248448,309,176.583024
809.297002,671,177.416589
814.928259,673,178.275134
811.418222,674,179.14465
814.904309,675,180.021124
813.98364,674,180.878943
813.566609,677,181.720926
814.181929,675,182.578305
807.575939,670,183.445842
813.735009,674,184.280095
-22.191345,90,184.392438
813.296732,675,185.244607
-20.233014,91,185.362154
587.345515,650,186.16888
481.867631,534,186.834349
484.370625,537,187.524256
805.115539,672,188.370337
488.146238,540,189.048704
382.72675,429,189.594753
-22.414433,90,189.713835
487.207997,538,190.376002
812.987254,674,191.203758
815.387221,670,192.05927
814.476646,679,192.916135
812.241301,670,193.801593
810.647637,674,194.674513
810.03219,674,195.517755
-21.900453,90,195.640392
609.801312,665,196.508135
808.636084,675,197.35183
808.481719,672,198.181483
577.881679,648,199.024964
385.17267,429,199.56028
582.265949,650,200.36341
581.547457,647,201.214441
-27.236105,88,201.330427
811.234326,673,202.202395
485.668269,536,202.87852
47.214689,171,203.096635
-91.350499,11,203.114568
811.274686,672,204.013993
394.464088,435,204.580927
809.774069,670,205.462018
807.337504,674,206.297126
813.687818,673,207.155149
810.21045,675,208.022581
806.562574,672,208.891936
807.167516,670,209.762642
814.655676,674,210.600115
386.477599,429,211.153484
810.976412,674,212.009845
481.997572,539,212.700478
-27.204231,87,212.81854
195.41949,327,213.233157
479.170403,534,213.954668
75.302946,201,214.207735
-27.14538,88,214.3164
71.677808,198,214.581159
-20.291425,92,214.693915
74.510629,197,214.953296
72.678415,200,215.209307
-23.174104,90,215.315027
459.198368,519,215.980732
807.833865,668,216.821598
804.998951,670,217.66448
-26.447863,87,217.780339
813.686101,674,218.655271
803.988239,668,219.578315
469.559226,530,220.254844
76.529791,201,220.516169
805.98314,669,221.366266
394.958673,435,221.894912
475.880469,534,222.563233
-6.743492,103,222.694313
805.229415,671,223.593936
-27.359738,87,223.717391
806.51694,670,224.691337
592.93707,657,225.501337
802.060481,669,226.392851
79.66778,202,226.641241
174.163453,310,227.045802
802.987566,668,227.887778
74.188965,199,228.152249
-24.537832,88,228.269158
807.233095,670,229.125648
812.884393,676,230.088547
819.658025,678,231.051405
811.766559,678,231.978289
814.035196,673,232.937884
-22.425529,90,233.053494
816.400302,677,233.919347
817.281686,677,234.798566
819.828714,675,235.681653
819.523514,676,236.550581
809.426185,672,237.409876
386.094551,429,237.944805
-21.528881,90,238.063647
819.923351,679,238.960881
809.516115,678,239.863886
818.00739,676,240.720924
817.678415,675,241.595104
818.57655,676,242.450027
825.749386,681,243.307923
825.161098,683,244.178621
823.143017,682,245.057209
825.900915,682,245.935906
822.712251,680,246.818239
824.952542,681,247.703352
824.743418,680,248.565592
598.241786,659,249.395714
823.394996,682,250.283571
826.682284,680,251.182365
820.936526,683,252.052647
821.139187,680,252.906078
185.717602,317,253.317681
820.066257,682,254.205049
