#{"t_start": 1783679459.1440916, "env_id": "None"}
r,l,t
-89.798467,16,5.971953
-91.253155,15,5.993979
-91.046222,15,6.016361
-85.992014,22,6.046126
-93.25445,13,6.069704
-88.878114,17,6.096947
-88.04602,20,6.12258
-87.802828,19,6.146157
-89.698719,17,6.168093
-77.631187,31,6.209916
-93.110063,11,6.222431
-87.899771,19,6.244127
-84.687171,24,6.263383
-83.039318,28,6.293259
-84.060771,24,6.317085
-95.823878,9,6.325048
-89.387442,19,6.342415
-90.096396,18,6.365137
-94.925669,9,6.379345
-86.74848,23,6.402957
-74.050436,37,6.438437
-94.704787,10,6.452324
-78.830716,29,6.485637
-90.292478,18,6.506248
-89.048285,18,6.524867
-89.134785,16,6.547885
-89.723119,17,6.567567
-89.145705,18,6.584108
-83.226445,24,6.605958
-92.543428,14,6.626511
-75.802181,33,6.658638
-85.19572,22,6.679807
-79.192934,29,6.709442
-90.646196,16,6.732387
-80.498691,28,6.769956
-81.476699,27,6.808128
-86.086315,21,6.833982
-94.291362,11,6.852271
-91.479409,15,6.868467
-93.93678,12,6.884675
-93.515611,12,6.900992
-77.466838,32,6.946169
-85.746226,22,6.977021
-92.811223,12,6.990896
-89.868681,19,7.015769
-95.811371,8,7.029839
-70.404101,41,7.075425
-88.59761,18,7.092813
-86.76337,20,7.112935
-88.869491,21,7.143403
-86.915704,21,7.163055
-87.680039,19,7.186048
-87.7716,20,7.205006
-86.592407,22,7.230622
-87.991435,18,7.246909
-89.837831,17,7.262861
-92.15914,13,7.276072
-95.647831,9,7.28683
-92.63156,13,7.299819
-88.030323,19,7.318442
-83.47865,26,7.35321
-87.490196,20,7.383695
-77.315571,33,7.433359
-81.489261,28,7.469541
-93.373198,12,7.480459
-87.189883,20,7.508639
-92.844548,12,7.521624
-94.472566,11,7.534456
-87.630486,19,7.558746
-91.446117,14,7.580078
-88.79761,18,7.598941
-82.75842,24,7.622882
-92.138334,15,7.636646
-85.419777,22,7.66787
-76.561068,36,7.705347
-92.531086,13,7.721577
-84.447391,24,7.745975
-87.496963,19,7.766438
-78.632675,29,7.803757
-79.228379,31,7.84371
-84.705865,23,7.871916
-59.285955,51,7.930071
-88.906052,17,7.948117
-94.61965,11,7.95753
-86.704499,20,7.975817
-90.827167,16,7.994042
-84.543817,25,8.023685
-84.392835,24,8.0539
-79.326239,29,8.087774
-92.49241,13,8.107245
-93.569205,12,8.123872
-88.18011,20,8.153347
-94.367349,10,8.167925
-86.797061,20,8.19123
-94.437162,11,8.202527
-86.746964,22,8.224471
-78.572911,30,8.253012
-94.51965,11,8.268432
-73.356176,35,8.306323
-94.594085,10,8.317035
-90.222246,15,8.332091
-93.797525,11,8.348918
-85.150397,23,8.371376
-75.068838,33,8.404868
-86.801433,21,8.429624
-91.38261,16,8.454768
-85.188958,23,8.478188
-88.705052,18,8.494208
-75.632095,32,8.523221
-86.610161,20,8.549399
-86.564874,21,8.575853
-90.54211,17,8.597265
-91.952686,15,8.613788
